unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
7ccd9fe9-7f29-4054-b988-a05607d63b54,1608122662.7315252,[155863.92936],None,2018-02-14,0.1,000:00:38
a2ef3a4c-4fdc-4dfa-847d-0cc15f72b5d7,1608122701.9667125,[162569.5792],None,2019-03-18,0.1,000:00:39
e7b9f335-72d8-4658-89cf-4c4d87a005a6,1608122741.765313,[98449.128],None,2018-07-01,0.1,000:00:39
e51b578a-0e32-431d-af3b-10eddb1ad70b,1608122781.2734597,[138382.071],None,2019-04-05,0.1,000:00:39
1ca3fea7-eb71-4586-afe5-776ad815dabc,1608122821.6216674,[134155.47888],None,2019-01-16,0.1,000:00:40
b7c957c5-41c5-4b8e-8571-488a9bc2b608,1608209148.4805791,[180734.13412],None,2017-11-29,0.1,000:02:08
75b9fb9d-4ec8-4e45-82cf-d1c6818e087e,1608209259.2666137,[171333.49316],None,2017-11-30,0.1,000:01:50
91cbe004-0163-4b6e-882f-2b339c863803,1608209401.1972618,[156064.54368],None,2017-12-01,0.1,000:02:21
47eb4d36-881f-4880-817c-4d3443da33f3,1608209557.7428367,[147639.0052],None,2017-12-02,0.1,000:02:36
31e9b061-7072-4e05-9c0e-9d01aed8fef5,1608209688.0065136,[147869.2528],None,2017-12-03,0.1,000:02:10
4631d944-e0a9-4fee-bf12-771fc58349cf,1608209787.6884604,[143428.4856],None,2017-12-04,0.1,000:01:39
86f649f3-2c91-48e0-97a4-c471d37252c9,1608209922.304242,[133966.97884],None,2017-12-05,0.1,000:02:14
a98f9455-3ebe-4fbe-992d-0fdadbbc9028,1608210052.1615682,[127638.98736],None,2017-12-06,0.1,000:02:09
081505b8-77cc-4b12-ae3d-e2e262d36c68,1608210181.352359,[136359.9016],None,2017-12-07,0.1,000:02:09
47231e21-2e10-4b2b-96d9-5a34dbd92298,1608210309.586383,[110823.93984],None,2017-12-08,0.1,000:02:08
734ba477-e0af-4008-b1f9-9e00603930b3,1608210439.5158324,[110350.666],None,2017-12-09,0.1,000:02:09
05186cf8-7a6e-4f61-8364-4fac38b0f7da,1608210576.0815513,[116122.426],None,2017-12-10,0.1,000:02:16
d24972c7-e585-43de-b7da-2eb9555bda03,1608210702.686834,[117619.79656],None,2017-12-11,0.1,000:02:06
0cea3f89-3e9d-4630-9531-4c896376bfae,1608210833.4222348,[111391.69904],None,2017-12-12,0.1,000:02:10
08876f4e-63b3-47cb-8c08-a0d12763ff0f,1608210962.609404,[112632.93904],None,2017-12-13,0.1,000:02:09
d3c3bcf1-9ff8-4543-bf4e-b378f069d29d,1608211092.2622082,[102875.44476],None,2017-12-14,0.1,000:02:09
82ee7932-62d9-4124-94fe-bdabfe8fdd57,1608211222.8473065,[113029.09324],None,2017-12-15,0.1,000:02:10
2827baf1-1b0c-4248-b317-7856370815d4,1608211354.292785,[97576.44776],None,2017-12-16,0.1,000:02:11
1c465597-f64a-405e-b6d9-23aa73391998,1608211483.6497338,[101430.139],None,2017-12-17,0.1,000:02:09
15292385-b961-40c8-b40a-a16d03c26ca6,1608211616.6423926,[99625.10804],None,2017-12-18,0.1,000:02:12
35616b56-a4b0-4e94-918e-9756b6179528,1608211750.74532,[102088.40004],None,2017-12-19,0.1,000:02:14
165f2355-b376-4f0d-8e52-99002b2f0ff3,1608211885.093877,[98749.72444],None,2017-12-20,0.1,000:02:14
cb495790-b0f0-4d4a-b9ca-d70ff1023f25,1608212024.2174697,[102764.69572],None,2017-12-21,0.1,000:02:19
71c962c7-2a86-4f65-b1e1-e7b1c748f857,1608212162.474837,[126900.71124],None,2017-12-22,0.1,000:02:18
ba0c72fa-bcaa-4a43-bf67-f7bb0f7265ad,1608212312.3680143,[118748.35192],None,2017-12-23,0.1,000:02:29
89675cdc-620e-4019-bb35-9e40cbd0e4f9,1608212455.6759963,[118748.35192],None,2017-12-24,0.1,000:02:23
5e1af706-7285-4438-a324-e711a1fcc790,1608212597.0635788,[130833.52016],None,2017-12-25,0.1,000:02:21
d450baf5-eaf9-4345-b070-c05f7fc91ad7,1608212743.2413714,[141264.04672],None,2017-12-26,0.1,000:02:26
b985ddaf-1385-42de-a983-bda3f89fbad3,1608212916.1987786,[147835.3444],None,2017-12-27,0.1,000:02:52
